,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
912,꼰떼 부암동,"알리오올리오, 리조또",종로구,서울특별시 종로구 부암동 269-8,"아늑한, 점심식사, 저녁식사, 예약필수",126.984046755025,37.5792784267627,음식점
913,베르트 안국역,"카페, 크로플",종로구,서울특별시 종로구 재동 32-21,"조용한, 바자리, 반려동물동반",126.982162799734,37.579909573678,카페
914,가배도 삼청점,"카페, 티라미수",종로구,서울특별시 종로구 소격동 142-2,"캐주얼한, 반려동물동반",126.969515026267,37.572192670427,카페
915,심플리커피 경복궁,"커피, 루프탑",종로구,서울특별시 종로구 신문로2가 1-196,"캐주얼한, 테이크아웃",126.989596958769,37.5735911586198,카페
916,익선취향 익선동,"파스타, 로제파스타",종로구,서울특별시 종로구 익선동 166-70,"예쁜, 점심식사, 저녁식사, 반려동물동반",126.970923057907,37.5758070057727,음식점
917,aoc 서촌,"아메리카노, 카페라떼",종로구,서울특별시 종로구 내자동 128-1,"깔끔한, 반려동물동반",126.97049877526,37.5757904123062,카페
918,내자상회 서촌,"카페, 쑥라떼",종로구,서울특별시 종로구 내자동 142,"예쁜, 반려동물동반, 배달",127.004819556235,37.5811094149907,카페
919,b2 프로젝트 혜화,"카페, 와플",종로구,서울특별시 종로구 동숭동 130-11,"예쁜, 반려동물동반",126.964173155945,37.5819307382547,카페
920,하이버 서촌,"카페, 빵",종로구,서울시 종로구 누상동 166-127,"지역주민이찾는, 테이크아웃, 반려동물동반, 야외좌석(테라스), 제로페이, 배달",126.973666093445,37.5790626714898,카페
921,33마켓 서촌,"카페, 찻집",종로구,서울특별시 종로구 통의동 2-1 보안여관 신관1층,"조용한, 바자리",126.968894428168,37.5801881133753,카페
922,레종데트르 서촌,"디저트, 디저트카페",종로구,서울특별시 종로구 누하동 21-1,"고급스러운, 테이크아웃, 반려동물동반, 제로페이, 배달",126.991624258718,37.5767425485657,카페
923,카페사사 종로,"카페, 한옥카페",종로구,서울특별시 종로구 권농동 144-1,"경관/야경이좋은, 야외테라스, 좌식, 반려동물동반",126.996895177718,37.5860296169888,카페
924,별달밤 종로구,"카페, 홍차",종로구,서울특별시 종로구 명륜1가 98-1,"예쁜, 반려동물동반",126.981621535198,37.5799329164912,카페
925,월영당 서울 북촌,"카페, 쑥떡",종로구,서울특별시 종로구 소격동 122-3,"이국적/이색적, 반려동물동반",126.971594825012,37.5796453145505,카페
926,쁘띠통 서촌,베이커리,종로구,서울특별시 종로구 창성동 136,"크리스마스, 반려동물동반",126.998547805685,37.5822176365157,카페
927,창경궁로240 대학로,"카페, 이색카페",종로구,서울특별시 종로구 명륜4가 188-20,"예쁜, 야외테라스, 정원",126.968598822307,37.5796787032805,카페
928,소이로움 서촌,"비건, 비건식당",종로구,서울특별시 종로구 누하동 58-1,"예쁜, 점심식사, 저녁식사, 반려동물동반",126.992475182963,37.5737859019562,음식점
929,헤리티지클럽 종로,"커피, 카페",종로구,서울특별시 종로구 봉익동 1-1,"캐주얼한, 반려동물동반",126.9788651909,37.6091972043697,카페
930,옥수산장 종로구,"백숙, 토종닭",종로구,서울특별시 종로구 평창동 5-1 옥수산장,"반려동물동반, 주차",126.978518818865,37.6093328308336,음식점
931,팔레드 신 명동,"베이징덕, 딤섬",중구,서울특별시 중구 회현동1가 194-19,"고급스러운, 점심식사, 저녁식사, 예약필수, 반려동물동반, 무료주차",126.99542739784,37.5675235050637,음식점
932,브레라 버티고개역,"이탈리아음식, 파스타",중구,서울시 중구 신당동 366-440,"이국적/이색적, 점심식사, 저녁식사, 반려동물동반",127.00699378739,37.5483234951473,음식점
933,심세정 신당역,베이커리,중구,서울특별시 중구 흥인동 88,"캐주얼한, 아침식사, 점심식사, 저녁식사, 반려동물동반",127.017024252527,37.5660555448361,카페
