,Unnamed: 0,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
98,98,철인7호 천호점,"치킨, 떡",강동구,서울특별시 강동구 천호동 21-208,"반려동물동반, 배달",127.142026275051,37.544041257485,음식점
99,99,카페 헤엄 굽은다리역,"카페, 샌드위치",강동구,서울특별시 강동구 천호동 45-2,"예쁜, 테이크아웃, 바테이블, 주차, 배달",127.126970398024,37.5386281738727,카페
100,100,아이스베리 천호,"빙수, 요거트빙수",강동구,서울특별시 강동구 천호동 454-64 2층,"시끌벅적한, 반려동물동반, 배달",127.143505186397,37.5518131906387,카페
101,101,오늘와인한잔 명일점,"술집, 와인",강동구,서울특별시 강동구 명일동 312-60,"분위기좋은, 반려동물동반, 배달",127.122675235284,37.5392762078356,음식점
102,102,카페 윤슬 천호,"카페, 스콘",강동구,서울특별시 강동구 천호동 456-9,"인스타감성, 반려동물동반",127.134522645031,37.526011390922,카페
103,103,보성갈비 성내동,"돼지갈비, 갈비",강동구,서울특별시 강동구 성내동 429-8,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 주차",127.173115972466,37.5481397674109,음식점
104,104,미츠커피앤바 상일동,"커피, 카페",강동구,서울특별시 강동구 상일동 341-5,"예쁜, 테이크아웃, 야외테라스, 바자리",127.133605124505,37.5535705803694,카페
105,105,평상시 암사동,"비건, 카페",강동구,서울특별시 강동구 암사동 458-67,"예쁜, 테이크아웃, 정원, 주차",127.129120675048,37.5356183949184,카페
106,106,아이아오 성내동,"카페, 커피",강동구,서울특별시 강동구 성내동 21-1,"예쁜, 점심식사, 반려동물동반, 주차",127.14352913456,37.5520266078267,카페
107,107,Cafe Napal 명일역,카페,강동구,서울특별시 강동구 명일동 312-55,"깔끔한, 야외테라스, 정원, 배달",127.127100652964,37.5540369094746,카페
108,108,두콩 암사,"카페, 콜팝",강동구,서울특별시 강동구 암사동 508,"반려동물동반, 주차",127.154073198436,37.5520654877796,카페
109,109,프롬투커피 명일,"커피, 아메리카노",강동구,서울특별시 강동구 명일동 48-12,"주민추천, 반려동물동반",127.126049513968,37.5485907843319,카페
110,110,카페 뉴 암사동,"커피, 카페",강동구,서울 강동구 암사동 513-9,"예쁜, 반려동물동반",127.146796340059,37.5647403359161,카페
111,111,스테이지28 웁시데이지 강동구,"레모네이드, 애견카페",강동구,서울특별시 강동구 고덕동 407-2,"자연친화적, 점심식사, 반려동물동반, 주차",127.128412264578,37.5374541438476,카페
112,112,뭉스벨리 천호,"대게, 애견카페",강동구,서울특별시 강동구 천호동 452,"넓은실내, 반려동물동반, 주차",127.172767320546,37.5496599906737,카페
